Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1002710;ZSTO;FILTRO DE AIRE;MR01;0374;AA04;V1;2;HB;5;4;0;0;0;0;F04;FILTRO AIRE;202667,76;KOMATSU HO // // DARMET;6001855110 // P532503 // VP-3722;FILTROS;KOMATSU D65EX12;9-FRAGIL;2,982;0;KG;36366;15;202667,75;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002713;ZSTO;FILTRO AIRE ANTERIOR;MR01;0374;AA04;V1;2;HB;3;2;0;0;0;0;F04;FILTRO AIRE;20941,1;CNH INDUST // CNH INDUST //;2992261 // 5803208328 // Z8250;FILTROS;VOLVO 330;7-PESADO;2,4;0;KG;2461,76;15;20941,1;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002719;ZSTO;RESPIR. TQ. HIDRAULICO XUN;MR01;0374;AA04;V1;1;HB;2;1;0;0;0;0;F07;FILTRO FLUIDO HIDR;39,01;KOMATSU HO;20Y6021470;FILTROS;PC350LC8;8-VARIOS;0,01;0;KG;25,12;15;39,01;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002722;ZSTO;FILTRO COMBUSTIBLE;MR01;0374;AA04;V1;9;HB;18;16;0;0;0;0;F06;FILTRO COMBUSTIBLE;923363,2;CATERPILLA //;1R0749 // P551311;FILTROS;CAT;7-PESADO;0,91;0;KG;1842,003;20;923363,14;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002727;ZSTO;FILTRO AIRE CABINA XUN;MR01;0374;AA04;V1;9;HB;17;13;0;0;0;0;F05;FILTRO AIRE CABINA;810736,68;KOMATSU HO // DONALDSON;17M9113530 // P500138;FILTROS;KMS 155AX6;9-FRAGIL;0,271;0;KG;2103,75;15;810736,74;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002728;ZSTO;FILTRO AIRE PRIMARIO X UN;MR01;0374;AB05;V1;8;HB;16;13;0;0;0;0;F04;FILTRO AIRE;938662,92;JOHN DEERE;AT178516;FILTROS;D 670 G // 670D;9-FRAGIL;2,27;0;KG;31250;15;938662,93;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002729;ZSTO;FILTRO AIRE SECUNDARIO X UN;MR01;0374;AB05;V1;8;HB;16;13;0;0;0;0;F04;FILTRO AIRE;679393;JOHN DEERE;AT178517;FILTROS;D 670 G // 670D;9-FRAGIL;0,9;0;KG;10800;15;679393,06;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002733;ZSTO;FILTRO AIRE CABINA XUN;MR01;0374;AA04;V1;1;HB;2;1;0;0;0;0;F05;FILTRO AIRE CABINA;71519,05;CATERPILLA // CATERPILLA;2321732 // 2314487;FILTROS;CAT;9-FRAGIL;0,85;0;KG;6360;25;71519,05;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002734;ZSTO;FILTRO AIRE SECUNDARIO;MR01;0374;AE03;V1;1;HB;2;1;0;0;0;0;F04;FILTRO AIRE;103134,78;CATERPILLA // DONALDSON;2456376 // P782108;FILTROS;CAT 140K;9-FRAGIL;0,6;0;KG;14592;25;103134,78;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002735;ZSTO;FILTRO AIRE PRIMARIO XUN;MR01;0374;AE03;V1;1;HB;2;1;0;0;0;0;F04;FILTRO AIRE;160739,77;CATERPILLA // DONALDSON;2456375 // P782105;FILTROS;CAT;9-FRAGIL;2,9;0;KG;32805;25;160739,77;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002736;ZSTO;FILTRO TANQUE HIDRAULICO XUN;MR01;0374;AE03;V1;1;HB;2;3;0;0;0;0;F07;FILTRO FLUIDO HIDR;117088,65;CATERPILLA;1R0774;FILTROS;CAT 416E // 140K;7-PESADO;0,64;0;KG;5488;20;117088,65;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002738;ZSTO;Filtro Aceite Motor;MR01;0374;AE03;V1;2;HB;5;4;0;0;0;0;F03;FILTRO ACEITE;27227,8;FLEETGUARD // DONALDSON;LF3345 // P558616;FILTROS;ONAN 40DGCA;7-PESADO;0,46;0;KG;956,424;15;27227,8;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002740;ZSTO;FILTRO HIDRAULICO;MR01;0374;AE04;V1;1;HB;1;2;0;0;0;0;F07;FILTRO FLUIDO HIDR;93952,86;CATERPILLA;937521;FILTROS;CAT 330;7-PESADO;0,77;0;KG;2280;25;93952,86;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002742;ZSTO;FILTRO ACEITE XUN;MR01;0374;AE03;V1;8;HB;16;11;0;0;0;0;F03;FILTRO ACEITE;876708,25;CATERPILLA // CATERPILLA // CATERPILLA;1R1808 // 1R0716 // 1R1808;FILTROS;CAT 755G;7-PESADO;1,68;0;KG;4291,988;25;876708,29;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002745;ZSTO;FILTRO AIRE CABINA;MR01;0374;AE03;V1;1;HB;1;1;0;0;0;0;F05;FILTRO AIRE CABINA;13101,6;CATERPILLA // CATERPILLA // CATERPILLA;2931183 // 3050329 // 4I1278;FILTROS;CAT 336 DLME;9-FRAGIL;0,48;0;KG;4995;25;13101,6;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002746;ZSTO;UNIDAD SELLO FILTRO HIDRAULICO;MR01;0374;AE04;V1;1;HB;1;2;0;0;0;0;C29;FILTROS/RESPUESTOS;62450,74;CATERPILLA;5I8670;FILTROS;CAT 330;7-PESADO;0,92;0;KG;1700;15;62450,74;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002747;ZSTO;FILTRO AIRE PRIMARIO XUN;MR01;0374;AE05;V1;5;HB;10;5;0;0;0;0;F04;FILTRO AIRE;421892,05;KOMATSU HO // // DONALDSON;6001856110 // AF25627 // P608885;FILTROS;KMS155AX6,PC350LC8,375D,WA600;9-FRAGIL;3,87;0;KG;60984;15;421892,04;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002748;ZSTO;FILTRO AIRE SECUNDARIO XUN;MR01;0374;AE05;V1;5;HB;10;4;0;0;0;0;F04;FILTRO AIRE;47340,4;DONALDSON // KOMATSU HO // // DARMET;P777869 // 6001856120 // AF25468 // VP-2776;FILTROS;KMS 155AX6, PC350LC8, WA600;9-FRAGIL;1,45;0;KG;19855;15;47340,4;;1;;;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002750;ZSTO;FILTRO COMBUSTIBLE;MR01;0374;AE03;V1;9;HB;16;7;0;0;0;0;F06;FILTRO COMBUSTIBLE;282893,87;KOMATSU HO // KOMATSU HO // FLEETGUARD //;6003193610 // 6003113620 // FS1242 // P551864;FILTROS;PC350LC8;7-PESADO;0,68;0;KG;1204,386;15;282893,89;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002754;ZSTO;FILTRO A. U. COMPRESORA SULLAIR 185;MR01;0374;AE03;V1;2;HB;5;4;0;0;0;0;F04;FILTRO AIRE;445944,92;SULLAIR AR // FLEETGUARD //;2250078031 // SE-1721 // OS 5194;FILTROS;FILTROS;9-FRAGIL;2,38;0;KG;11132;25;445944,93;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002760;ZSTO;FILTRO AIRE CABINA INTERIOR XUN;MR01;0374;AD03;V1;5;HB;8;7;0;0;0;0;F05;FILTRO AIRE CABINA;466615,17;KOMATSU HO;2089797620;FILTROS;PC350LC8;9-FRAGIL;0,12;0;KG;2016;15;466615,17;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002766;ZSTO;FILTRO COMBUSTIBLE;MR01;0374;AD03;V1;16;HB;32;18;0;0;0;0;F06;FILTRO COMBUSTIBLE;456645,6;KOMATSU HO // //;4216035170 // AF4167 // P502574;FILTROS;WA600;9-FRAGIL;0,025;0;KG;90,75;25;456645,63;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002771;ZSTO;FILTRO DE AIRE PRIMARIO;MR01;0374;AD03;V1;2;HB;4;1;0;0;0;0;F03;FILTRO ACEITE;36280,59;CATERPILLA;1R1807;FILTROS;CAT;7-PESADO;0,98;0;KG;2469,61;25;36280,59;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002772;ZSTO;FILTRO COMBUSTIBLE XUN;MR01;0374;AD03;V1;3;HB;6;4;0;0;0;0;F06;FILTRO COMBUSTIBLE;100091,64;JOHN DEERE;RE62419;FILTROS;FILTROS;7-PESADO;0,28;0;KG;1296;15;100091,64;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002776;ZSTO;FILTRO AIRE PRIMARIO XUN;MR01;0374;AA04;V1;3;HB;5;3;0;0;0;0;F04;FILTRO AIRE;74633,52;DARMET;V750;FILTROS;ONAN / MULLER;9-FRAGIL;1,4;0;KG;13284;30;74633,51;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002780;ZSTO;FILTRO AIRE 1;MR01;0374;BA04;V1;5;HB;10;5;0;0;0;0;F04;FILTRO AIRE;56455,6;MANN // MANN //;5821149 // C23610 // AB3006;FILTROS;BOMAG 213/219;9-FRAGIL;1,52;0;KG;34496;25;56455,6;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002781;ZSTO;FILTRO AIRE;MR01;0374;BA04;V1;1;HB;2;1;0;0;0;0;F04;FILTRO AIRE;127717,57;JOHN DEERE;AL172780;FILTROS;JD 6615;9-FRAGIL;1,01;0;KG;10880;25;127717,57;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002796;ZSTO;ELEMENTO FILTRO ACEITE XUN;MR01;0374;AD03;V1;3;HB;6;3;0;0;0;0;F03;FILTRO ACEITE;86709,63;CATERPILLA;1R0722;FILTROS;FILTROS;8-VARIOS;0,655;0;KG;5586;15;86709,62;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002809;ZSTO;FILTRO CABINA XUN;MR01;0374;AD03;V1;3;HB;6;4;0;0;0;0;F05;FILTRO AIRE CABINA;302036,12;CATERPILLA;6T0988;FILTROS;CAT D6;9-FRAGIL;1,13;0;KG;7752;25;302036,12;;;;1;;;1;;
