Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA
1015866;ZSSD;TRAPO DE PISO X UN;374;RE;75;75;LIMPIEZA;36;;36;48,00%;8/9/2026
1002061;ZSTO;CAMPERA ABRIGO T. XXXL ROJA CON LOGO;374;RE;25;25;ROPA;12;;12;48,00%;8/9/2026
1001988;ZSTO;ELECTRODO AWS6013 X 3,25MM X KG;374;RE;60;60;SOLDADURA;29;;29;48,33%;8/9/2026
1002002;ZSTO;CAMISA JEAN T.42 C LOGO;374;RE;43;43;ROPA;21;;21;48,84%;8/9/2026
1017050;ZSSD;BOBINA PAPEL 25CM 400MT;374;RE;40;40;LIMPIEZA;20;;20;50,00%;8/9/2026
1017045;ZSSD;SECADOR DE PISO 30CM;374;RE;12;12;LIMPIEZA;6;;6;50,00%;8/9/2026
1016955;ZSSD;SOGA NAUTICA 10MM;374;RE;600;600;FERRETERIA;300;;300;50,00%;8/9/2026
1016973;ZSSD;MAZA MINERO 3 KG;374;RE;6;6;FERRETERIA;3;;3;50,00%;8/9/2026
1041940;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XXL;374;RE;10;10;INDUMENTARIA;5;;5;50,00%;8/9/2026
1048856;ZSCD;BALDE PLASTICO 12LTS.;374;RE;6;6;FERRETERIA;3;;3;50,00%;8/9/2026
1001681;ZSTO;FICHA T.STECK MACHO 380V 32A T N XUN;374;RE;20;20;ELECTRICIDAD;10;;10;50,00%;8/9/2026
1001888;ZSTO;BOLSAS RESIDUOS XUN 102X130 NEGRA;374;RE;400;400;LIMPIEZA;200;;200;50,00%;8/9/2026
1001747;ZSTO;BOTA GOMA P.ACERO N 43;374;RE;18;18;SEGURIDAD;9;;9;50,00%;8/9/2026
1002001;ZSTO;CAMISA JEAN T.40 C LOGO;374;RE;30;30;ROPA;15;;15;50,00%;8/9/2026
1001958;ZSTO;CINTA TEFLON 1/2 X 20MT;374;RE;6;6;FERRETERIA;3;;3;50,00%;8/9/2026
1001951;ZSTO;CANDADO 50MM XUN;374;RE;20;20;FERRETERIA;10;;10;50,00%;8/9/2026
1016080;ZSCD;BOTIN CONW 53 BAF MARRON FLOR P.ACER N39;374;RE;15;15;SEGURIDAD;8;;8;53,33%;8/9/2026
1001972;ZSTO;ESMALTE SINT. AEROSOL VERDE X440CC;374;RE;24;24;PINTURAS;13;;13;54,17%;8/9/2026
1001893;ZSTO;BOLSARESIDUPLASTICA60X90NEGRAXROLLOX10UN;374;RE;90;90;LIMPIEZA;49;;49;54,44%;8/9/2026
1041939;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XL;374;RE;11;11;INDUMENTARIA;6;;6;54,55%;8/9/2026
1017003;ZSSD;BATERIA 9V;374;RE;11;11;FERRETERIA;6;;6;54,55%;8/9/2026
1001881;ZSTO;MARCADOR INDUSTRIAL - ROJO UNIPAINT X UN;374;RE;240;240;LIBRERIA;132;;132;55,00%;8/9/2026
1001871;ZSTO;RESMA DE HOJA A4 70GR. X UN;374;RE;76;76;LIBRERIA;42;;42;55,26%;8/9/2026
1001876;ZSTO;CINTA EMBALAR TRANSPARENTE 48MM X 100 MT;374;RE;74;74;LIBRERIA;42;;42;56,76%;8/9/2026
1026934;ZSCD;PLOMADA 500GR;374;RE;7;7;FERRETERIA;4;;4;57,14%;8/9/2026
1001774;ZSTO;ESLINGA SINTETICA 4MTS 4TN CERTIFICADA;374;RE;7;7;SEGURIDAD;4;;4;57,14%;8/9/2026
1016017;ZSCD;BOTIN CONW 53 BAF MARRON FLOR P.ACER N36;374;RE;7;7;SEGURIDAD;4;;4;57,14%;8/9/2026
1002057;ZSTO;CAMPERA ABRIGO T. M ROJA CON LOGO;374;RE;31;31;ROPA;18;;18;58,06%;8/9/2026
1002045;ZSTO;CAMISETA PRIMERA PIEL T.L;374;RE;41;41;SEGURIDAD;24;;24;58,54%;8/9/2026
1016963;ZSSD;RESALTADOR CELESTE PUNTA CHANFLEADA;374;RE;25;25;LIBRERIA;15;;15;60,00%;8/9/2026
1001880;ZSTO;MARCADOR INDUSTRIAL - AZUL UNIPAINT X UN;374;RE;200;200;LIBRERIA;120;;120;60,00%;8/9/2026
1017220;ZSSD;REGLA PLASTICA 30 CM;374;RE;10;10;LIBRERIA;6;;6;60,00%;8/9/2026
1001950;ZSTO;CANDADO 38-40MM XUN;374;RE;20;20;FERRETERIA;12;;12;60,00%;8/9/2026
1001949;ZSTO;CANDADO 30MM XUN;374;RE;16;16;FERRETERIA;10;;10;62,50%;8/9/2026
1017022;ZSSD;CUADERNO ESPIRAL CUAD A4 T.SEMIDURA 80HJ;374;RE;16;16;LIBRERIA;10;;10;62,50%;8/9/2026
1002016;ZSTO;PANTALON JEAN T.48;374;RE;32;32;ROPA;20;;20;62,50%;8/9/2026
1042798;ZSCD;GUANTE LÁTEX NEGRO INDUSTRIAL T10;374;RE;450;450;INDUMENTARIA;282;;282;62,67%;8/9/2026
1001695;ZSTO;MANGA DESCARNE;374;RE;19;19;SEGURIDAD;12;;12;63,16%;8/9/2026
1016971;ZSSD;NOTAS ADHESIVAS (POST IT) 38X54 MM;374;RE;30;30;LIBRERIA;19;;19;63,33%;8/9/2026
1016961;ZSSD;RESALTADOR ROSA PUNTA CHANFLEADA;374;RE;31;31;LIBRERIA;20;;20;64,52%;8/9/2026
1001745;ZSTO;BOTA GOMA P.ACERO N 41;374;RE;20;20;SEGURIDAD;13;;13;65,00%;8/9/2026
1002017;ZSTO;PANTALON JEAN T.50;374;RE;20;20;ROPA;13;;13;65,00%;8/9/2026
1015788;ZSSD;DESODORANTE LÍQUIDO PARA PISO X 5 LTS;374;RE;95;95;LIMPIEZA;63;;63;66,32%;8/9/2026
1016962;ZSSD;RESALTADOR NARANJA PUNTA CHANFLEADA;374;RE;30;30;LIBRERIA;20;;20;66,67%;8/9/2026
1001688;ZSTO;TAPON AUDITIVO FOAM CON CORDON;374;RE;150;150;SEGURIDAD;100;;100;66,67%;8/9/2026
1049436;ZSCD;MARTILLO CARPINTERO C/CABO DE FIBRA;374;RE;45;45;FERRETERIA;30;;30;66,67%;8/9/2026
1016964;ZSSD;RESALTADOR AMARILLO PUNTA CHANFLEADA;374;RE;30;30;LIBRERIA;20;;20;66,67%;8/9/2026
